model_name,model_size_b,dataset_name,module_name,module_short,module_role,module_class,module_leaf,layer_idx,num_layers_hint,normalized_depth,candidate_format,seeds,n_labeled_seeds,baseline_loss_mean,perturbed_loss_mean,perturbation_delta_mean,perturbation_delta_min,perturbation_delta_max,mean_abs_delta,max_abs_delta,std_abs_delta,max_batch_loss_delta_abs,safe_rate,safe_seed_count,label_count,safe_all_seeds_int,activation_outlier_score_mean,activation_outlier_score_max,input_outlier_score_mean,input_outlier_score_max,output_outlier_score_mean,output_outlier_score_max,int8_rel_mse_mean,int8_rel_mse_max,input_int8_rel_mse_mean_mean,input_int8_rel_mse_mean_max,output_int8_rel_mse_mean_mean,output_int8_rel_mse_mean_max,output_int4_rel_mse_mean_mean,output_int4_rel_mse_mean_max,output_int8_saturation_mean_mean,output_int8_saturation_mean_max,output_int4_saturation_mean_mean,output_int4_saturation_mean_max,safe_threshold,safe_all_seeds,safe_majority,unsafe_all_seeds,unsafe_any_seed,conservative_rescue_target,activation_outlier_score_agg,int8_rel_mse_agg
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.3.mlp.down_proj,layers.3.mlp.down_proj,mlp_projection,Linear,down_proj,3.0,28,0.111111111111,fake_int8_output,"42,43,44",3,1.77951806784,1.8258831699666667,0.046365102132166665,0.0265026092529,0.0605845451355,0.046365102132166665,0.0605845451355,0.017727876277296096,0.110239744186,0.0,0,3,0,756.2717081706666,756.275695801,461.8590901696666,462.358612061,756.2717081706666,756.275695801,0.013553514300533332,0.0143763392698,0.013553514300533332,0.0143763392698,0.00162595277652,0.00164076103829,0.022903380139433337,0.0229178713635,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,0.005,0,0,1,1,1,756.275695801,0.0143763392698
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.4.input_layernorm,layers.4.input_layernorm,norm,Qwen2RMSNorm,input_layernorm,4.0,28,0.148148148148,fake_int8_output,"42,43,44",3,1.77951806784,1.7760669787733334,-0.003451089064281,-0.00694087147713,0.000674217939377,0.0039005676905323333,0.00694087147713,0.0031374665681492436,0.0239586830139,0.6666666666666666,2,3,0,756.0162963866666,756.019836426,756.0162963866666,756.019836426,32.45616849263333,37.641872406,0.0043951488914900005,0.00504725414794,0.0023875447417,0.00239134056028,0.0043951488914900005,0.00504725414794,0.2768305440746667,0.282935470343,1.18073968262e-06,1.36239194148e-06,2.54313164305e-06,3.26974065956e-06,0.005,0,1,0,1,1,756.019836426,0.00504725414794
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.layers.4.post_attention_layernorm,layers.4.post_attention_layernorm,norm,Qwen2RMSNorm,post_attention_layernorm,4.0,28,0.148148148148,fake_int8_output,"42,43,44",3,1.77951806784,2.0211536884299997,0.241635620594,0.180922955275,0.272918015718,0.241635620594,0.272918015718,0.05258686517839635,0.407048225403,0.0,0,3,0,755.9972127280001,755.99987793,755.9972127280001,755.99987793,47.074385325099996,47.5045661926,0.0107891180863,0.0109327449463,0.00246235920349,0.00247049552854,0.0107891180863,0.0109327449463,0.150054258605,0.152863260359,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,0.005,0,0,1,1,1,755.99987793,0.0109327449463
Qwen/Qwen2.5-7B,7.0,tatsu-lab/alpaca,base_model.model.model.norm,norm,norm,Qwen2RMSNorm,norm,,28,,fake_int8_output,"42,43,44",3,1.77951806784,1.7851833204433334,0.005665252606064666,-0.000148981809616,0.0144056677818,0.005764573812475333,0.0144056677818,0.007594637604203456,0.0468598604202,0.6666666666666666,2,3,0,75.26493835449999,83.3938598633,75.26493835449999,83.3938598633,44.587113698299994,47.4081573486,0.020115862755733332,0.0215206230059,0.020115862755733332,0.0215206230059,0.00792563147843,0.00864329375327,0.2559644604723333,0.266338400543,1.18073968262e-06,1.36239194148e-06,4.813784822016667e-06,5.99452451411e-06,0.005,0,1,0,1,1,83.3938598633,0.0215206230059
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.lm_head,base_model.model.lm_head,logits,Linear,lm_head,,32,,fake_int8_output,"42,43,44",3,2.47704253594,2.4779477914166663,0.0009052554766330002,-0.00534337759018,0.00828444957733,0.004617710908253667,0.00828444957733,0.004078283301100754,0.0161561965942,0.3333333333333333,1,3,0,21.6633447011,24.8197803497,21.6633447011,24.8197803497,11.00138632457,15.3734483719,0.0019115093261166665,0.00211823999416,0.0019115093261166665,0.00211823999416,0.0004227025177289999,0.000578539154958,0.138876133909,0.189742000774,1.0888253143533334e-06,1.25633690118e-06,3.01520858178e-06,4.52281290109e-06,0.005,0,0,0,1,1,24.8197803497,0.00211823999416
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.2.mlp.down_proj,layers.2.mlp.down_proj,mlp_projection,Linear,down_proj,2.0,32,0.0645161290323,fake_int8_output,"42,43,44",3,2.47704253594,2.4764770766099997,-0.0005654593308757668,-0.0056254863739,0.00391721725464,0.0031848649183909,0.0056254863739,0.0028775628330833442,0.0196404457092,0.6666666666666666,2,3,0,118.42028045633333,122.376045227,118.42028045633333,122.376045227,11.415806134533334,12.9753484726,0.03331535775213334,0.0348146620672,0.03331535775213334,0.0348146620672,0.000490627625065,0.000573313540372,0.15992648961633335,0.187331933528,1.4305107924899997e-06,1.43051079249e-06,4.64916013243e-06,8.22543717049e-06,0.005,0,1,0,1,1,122.376045227,0.0348146620672
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.2.self_attn.o_proj,layers.2.self_attn.o_proj,attention_projection,Linear,o_proj,2.0,32,0.0645161290323,fake_int8_output,"42,43,44",3,2.47704253594,2.475792070226667,-0.0012504657109566669,-0.0040619969368,0.00249317288399,0.0029125809669500002,0.0040619969368,0.0010074650680594345,0.0224139690399,1.0,3,3,1,70.24301401773333,77.312538147,65.7737159729,77.312538147,65.14215342203333,67.5800552368,0.017809683457,0.0198319526389,0.01420917800472,0.0185158175882,0.017648620608566666,0.0198319526389,0.5899018694953333,0.612391620874,1.5497200251966665e-06,1.78813849061e-06,3.5762770191166666e-06,3.93390473619e-06,0.005,1,1,0,0,0,77.312538147,0.0198319526389
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.28.mlp.down_proj,layers.28.mlp.down_proj,mlp_projection,Linear,down_proj,28.0,32,0.903225806452,fake_int8_output,"42,43,44",3,2.47704253594,2.47827962041,0.0012370844682033331,-0.00020956993103,0.00249549746513,0.0013767977555566666,0.00249549746513,0.0011437361611161987,0.00607109069824,1.0,3,3,1,132.4390996297,182.958572388,132.4390996297,182.958572388,22.1601219177,24.0931110382,0.03195475402753333,0.049912589835,0.03195475402753333,0.049912589835,0.0016861772940766665,0.0017990997876,0.4906321763993333,0.527910031378,1.4305107924899997e-06,1.43051079249e-06,1.5497200251966665e-06,1.78813849061e-06,0.005,1,1,0,0,0,182.958572388,0.049912589835
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.3.mlp.down_proj,layers.3.mlp.down_proj,mlp_projection,Linear,down_proj,3.0,32,0.0967741935484,fake_int8_output,"42,43,44",3,2.47704253594,2.4772304892499997,0.00018795331319300003,-0.000966846942902,0.00106200575829,0.0008325179417943334,0.00106200575829,0.00031864683838816717,0.0074450969696,1.0,3,3,1,83.30285898846667,97.9583282471,83.30285898846667,97.9583282471,19.762359619133335,21.5120239258,0.016056620418866668,0.0219694734551,0.016056620418866668,0.0219694734551,0.0011161702980953335,0.00135487129592,0.33558664160499996,0.411813259125,1.4305107924899997e-06,1.43051079249e-06,5.36441535814e-06,1.25169690932e-05,0.005,1,1,0,0,0,97.9583282471,0.0219694734551
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.30.mlp.gate_proj,layers.30.mlp.gate_proj,mlp_projection,Linear,gate_proj,30.0,32,0.967741935484,fake_int8_output,"42,43,44",3,2.47704253594,2.4783148368199996,0.0012723008791606667,-0.00131791830063,0.00457885861397,0.0021509130795806667,0.00457885861397,0.0021368981880279824,0.0173783302307,1.0,3,3,1,33.28408813476667,33.4067878723,27.251792907699997,27.4448871613,33.28408813476667,33.4067878723,0.005517239255523333,0.0055565496441,0.0037741010892233333,0.00381824898068,0.005517239255523333,0.0055565496441,0.7268162071706668,0.737190529704,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,1.08991355319e-06,0.005,1,1,0,0,0,33.4067878723,0.0055565496441
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.30.mlp.up_proj,layers.30.mlp.up_proj,mlp_projection,Linear,up_proj,30.0,32,0.967741935484,fake_int8_output,"42,43,44",3,2.47704253594,2.479472289483333,0.0024297535419466666,0.00038743019104,0.00420331954956,0.0024297535419466666,0.00420331954956,0.001922088910872,0.0136594772339,1.0,3,3,1,27.251792907699997,27.4448871613,27.251792907699997,27.4448871613,21.7354857127,22.5483932495,0.0037741010892233333,0.00381824898068,0.0037741010892233333,0.00381824898068,0.002006611030083333,0.0020237659046,0.5497064267596666,0.552997201681,1.08991355319e-06,1.08991355319e-06,4.08717576761e-06,5.17708923553e-06,0.005,1,1,0,0,0,27.4448871613,0.00381824898068
meta-llama/Llama-3.1-8B,8.0,tatsu-lab/alpaca,base_model.model.model.layers.30.self_attn.o_proj,layers.30.self_attn.o_proj,attention_projection,Linear,o_proj,30.0,32,0.967741935484,fake_int8_output,"42,43,44",3,2.47704253594,2.47683927417,-0.0002032617727936666,-0.00173416733742,0.00152868032455,0.0012223819891603333,0.00173416733742,0.0007158923894025594,0.00622868537903,1.0,3,3,1,131.10169219966667,142.097732544,31.94831530253333,32.7803993225,131.10169219966667,142.097732544,0.07247418165206666,0.077957585454,0.004298103158366667,0.00453017483233,0.07247418165206666,0.077957585454,0.690683692694,0.693273201585,1.5497200251966665e-06,1.78813849061e-06,2.5033939436966666e-06,2.86102169866e-06,0.005,1,1,0,0,0,142.097732544,0.077957585454
